Airline,Date,EBITDA,Status,Country,Region,IATA
Allegiant,2007'Q2,15.0,public,US,North America,G4
Hawaiian,2007'Q2,5.0,public,US,North America,HA
SkyWest,2007'Q2,17.0,public,US,North America,OO
Northwest Airlines,2007'Q2,11.0,merged with Delta 2008,US,North America,NW
Air Canada,2007'Q2,9.0,public,CA,North America,AC
WestJet Airlines,2007'Q2,21.0,public,CA,North America,WS
Exchange Income Corporation,2007'Q2,14.0,public,CA,North America,
Air France-KLM,2007'Q2,13.0,public,EU,Europe,AF/KL
Ryanair,2007'Q2,27.0,public,EU,Europe,FR
easyJet,2007'Q2,10.0,public,EU,Europe,U2
Norwegian Air Shuttle,2007'Q2,3.0,public,EU,Europe,DY
Finnair,2007'Q2,8.0,public,EU,Europe,AY
Singapore Airlines,2007'Q2,21.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q2,17.0,public,AU,Asia Pacific,QF
Japan Airlines,2007'Q2,8.0,public,JP,Asia Pacific,JL
ANA Holdings,2007'Q2,13.0,public,JP,Asia Pacific,NH
Korean Air,2007'Q2,8.0,public,KR,Asia Pacific,KE
Asiana Airlines,2007'Q2,5.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2007'Q2,16.0,public,HK,Asia Pacific,CX
Copa Holdings,2007'Q2,22.0,public,PA,Latin America,CM
Gol Linhas Aereas,2007'Q2,10.0,public,BR,Latin America,G3
LATAM Airlines,2007'Q2,12.0,public,CL,Latin America,LA
Air China,2007'Q2,19.0,public,CN,China,CA
China Eastern Airlines,2007'Q2,9.0,public,CN,China,MU
China Southern Airlines,2007'Q2,13.0,public,CN,China,CZ
Hainan Airlines,2007'Q2,15.0,public,CN,China,HU
SpiceJet,2007'Q2,-10.0,public,IN,India,SG
Kenya Airlines,2007'Q2,16.0,public,KE,Africa,KQ
Comair,2007'Q2,11.0,public,ZA,Africa,MN
Aeroflot,2007'Q2,18.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2007'Q2,18.0,public,AE,Middle East,G9
Jazeera Airways,2007'Q2,25.0,public,KW,Middle East,J9
American Airlines,2007'Q3,10.0,public,US,North America,AA
Delta Air Lines,2007'Q3,11.0,public,US,North America,DL
Southwest Airlines,2007'Q3,14.0,public,US,North America,WN
United Airlines,2007'Q3,9.0,public,US,North America,UA
Alaska Air,2007'Q3,9.0,public,US,North America,AS
JetBlue Airways,2007'Q3,12.0,public,US,North America,B6
Spirit Airlines,2007'Q3,3.0,public,US,North America,NK
Allegiant,2007'Q3,16.0,public,US,North America,G4
Hawaiian,2007'Q3,5.0,public,US,North America,HA
SkyWest,2007'Q3,17.0,public,US,North America,OO
Northwest Airlines,2007'Q3,12.0,merged with Delta 2008,US,North America,NW
Air Canada,2007'Q3,10.0,public,CA,North America,AC
WestJet Airlines,2007'Q3,22.0,public,CA,North America,WS
Exchange Income Corporation,2007'Q3,14.0,public,CA,North America,
Air France-KLM,2007'Q3,14.0,public,EU,Europe,AF/KL
Ryanair,2007'Q3,27.0,public,EU,Europe,FR
easyJet,2007'Q3,11.0,public,EU,Europe,U2
Norwegian Air Shuttle,2007'Q3,4.0,public,EU,Europe,DY
Finnair,2007'Q3,9.0,public,EU,Europe,AY
Singapore Airlines,2007'Q3,22.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q3,19.0,public,AU,Asia Pacific,QF
Japan Airlines,2007'Q3,8.0,public,JP,Asia Pacific,JL
ANA Holdings,2007'Q3,13.0,public,JP,Asia Pacific,NH
Korean Air,2007'Q3,8.0,public,KR,Asia Pacific,KE
Asiana Airlines,2007'Q3,5.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2007'Q3,17.0,public,HK,Asia Pacific,CX
Copa Holdings,2007'Q3,22.0,public,PA,Latin America,CM
Gol Linhas Aereas,2007'Q3,6.0,public,BR,Latin America,G3
LATAM Airlines,2007'Q3,12.0,public,CL,Latin America,LA
Air China,2007'Q3,19.0,public,CN,China,CA
China Eastern Airlines,2007'Q3,11.0,public,CN,China,MU
China Southern Airlines,2007'Q3,13.0,public,CN,China,CZ
Hainan Airlines,2007'Q3,18.0,public,CN,China,HU
SpiceJet,2007'Q3,-11.0,public,IN,India,SG
Kenya Airlines,2007'Q3,15.0,public,KE,Africa,KQ
Comair,2007'Q3,12.0,public,ZA,Africa,MN
Aeroflot,2007'Q3,19.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2007'Q3,20.0,public,AE,Middle East,G9
Jazeera Airways,2007'Q3,21.0,public,KW,Middle East,J9
American Airlines,2007'Q4,10.0,public,US,North America,AA
Delta Air Lines,2007'Q4,12.0,public,US,North America,DL
Southwest Airlines,2007'Q4,14.0,public,US,North America,WN
United Airlines,2007'Q4,10.0,public,US,North America,UA
Alaska Air,2007'Q4,11.0,public,US,North America,AS
JetBlue Airways,2007'Q4,12.0,public,US,North America,B6
Spirit Airlines,2007'Q4,5.0,public,US,North America,NK
Allegiant,2007'Q4,17.0,public,US,North America,G4
Hawaiian,2007'Q4,5.0,public,US,North America,HA
SkyWest,2007'Q4,16.0,public,US,North America,OO
Northwest Airlines,2007'Q4,13.0,merged with Delta 2008,US,North America,NW
Air Canada,2007'Q4,10.0,public,CA,North America,AC
WestJet Airlines,2007'Q4,22.0,public,CA,North America,WS
Exchange Income Corporation,2007'Q4,14.0,public,CA,North America,
Air France-KLM,2007'Q4,14.0,public,EU,Europe,AF/KL
Ryanair,2007'Q4,26.0,public,EU,Europe,FR
easyJet,2007'Q4,11.0,public,EU,Europe,U2
Norwegian Air Shuttle,2007'Q4,5.0,public,EU,Europe,DY
Finnair,2007'Q4,11.0,public,EU,Europe,AY
Singapore Airlines,2007'Q4,24.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q4,21.0,public,AU,Asia Pacific,QF
Japan Airlines,2007'Q4,9.0,public,JP,Asia Pacific,JL
ANA Holdings,2007'Q4,14.0,public,JP,Asia Pacific,NH
Korean Air,2007'Q4,9.0,public,KR,Asia Pacific,KE
Asiana Airlines,2007'Q4,5.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2007'Q4,17.0,public,HK,Asia Pacific,CX
Copa Holdings,2007'Q4,22.0,public,PA,Latin America,CM
Gol Linhas Aereas,2007'Q4,1.0,public,BR,Latin America,G3
LATAM Airlines,2007'Q4,13.0,public,CL,Latin America,LA
Air China,2007'Q4,18.0,public,CN,China,CA
China Eastern Airlines,2007'Q4,12.0,public,CN,China,MU
China Southern Airlines,2007'Q4,14.0,public,CN,China,CZ
Hainan Airlines,2007'Q4,22.0,public,CN,China,HU
SpiceJet,2007'Q4,-11.0,public,IN,India,SG
Kenya Airlines,2007'Q4,13.0,public,KE,Africa,KQ
Comair,2007'Q4,12.0,public,ZA,Africa,MN
Aeroflot,2007'Q4,19.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2007'Q4,22.0,public,AE,Middle East,G9
Jazeera Airways,2007'Q4,18.0,public,KW,Middle East,J9
American Airlines,2008'Q1,8.0,public,US,North America,AA
Delta Air Lines,2008'Q1,10.0,public,US,North America,DL
Southwest Airlines,2008'Q1,13.0,public,US,North America,WN
United Airlines,2008'Q1,6.0,public,US,North America,UA
Alaska Air,2008'Q1,9.0,public,US,North America,AS
JetBlue Airways,2008'Q1,12.0,public,US,North America,B6
Spirit Airlines,2008'Q1,3.0,public,US,North America,NK
Allegiant,2008'Q1,16.0,public,US,North America,G4
Hawaiian,2008'Q1,6.0,public,US,North America,HA
SkyWest,2008'Q1,16.0,public,US,North America,OO
Northwest Airlines,2008'Q1,8.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q1,9.0,public,CA,North America,AC
WestJet Airlines,2008'Q1,21.0,public,CA,North America,WS
Exchange Income Corporation,2008'Q1,14.0,public,CA,North America,
Air France-KLM,2008'Q1,12.0,public,EU,Europe,AF/KL
Ryanair,2008'Q1,23.0,public,EU,Europe,FR
easyJet,2008'Q1,10.0,public,EU,Europe,U2
Norwegian Air Shuttle,2008'Q1,3.0,public,EU,Europe,DY
Finnair,2008'Q1,9.0,public,EU,Europe,AY
Singapore Airlines,2008'Q1,22.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q1,21.0,public,AU,Asia Pacific,QF
Japan Airlines,2008'Q1,8.0,public,JP,Asia Pacific,JL
ANA Holdings,2008'Q1,12.0,public,JP,Asia Pacific,NH
Korean Air,2008'Q1,6.0,public,KR,Asia Pacific,KE
Asiana Airlines,2008'Q1,4.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2008'Q1,12.0,public,HK,Asia Pacific,CX
Copa Holdings,2008'Q1,22.0,public,PA,Latin America,CM
Gol Linhas Aereas,2008'Q1,1.0,public,BR,Latin America,G3
LATAM Airlines,2008'Q1,15.0,public,CL,Latin America,LA
Air China,2008'Q1,16.0,public,CN,China,CA
China Eastern Airlines,2008'Q1,4.0,public,CN,China,MU
China Southern Airlines,2008'Q1,11.0,public,CN,China,CZ
Hainan Airlines,2008'Q1,19.0,public,CN,China,HU
SpiceJet,2008'Q1,-8.0,public,IN,India,SG
Kenya Airlines,2008'Q1,13.0,public,KE,Africa,KQ
Comair,2008'Q1,11.0,public,ZA,Africa,MN
Aeroflot,2008'Q1,17.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2008'Q1,20.0,public,AE,Middle East,G9
Jazeera Airways,2008'Q1,17.0,public,KW,Middle East,J9
American Airlines,2008'Q2,6.0,public,US,North America,AA
Delta Air Lines,2008'Q2,9.0,public,US,North America,DL
Southwest Airlines,2008'Q2,12.0,public,US,North America,WN
United Airlines,2008'Q2,3.0,public,US,North America,UA
Alaska Air,2008'Q2,6.0,public,US,North America,AS
JetBlue Airways,2008'Q2,11.0,public,US,North America,B6
Spirit Airlines,2008'Q2,2.0,public,US,North America,NK
Allegiant,2008'Q2,16.0,public,US,North America,G4
Hawaiian,2008'Q2,6.0,public,US,North America,HA
SkyWest,2008'Q2,15.0,public,US,North America,OO
Northwest Airlines,2008'Q2,4.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q2,8.0,public,CA,North America,AC
WestJet Airlines,2008'Q2,19.0,public,CA,North America,WS
Exchange Income Corporation,2008'Q2,14.0,public,CA,North America,
Air France-KLM,2008'Q2,10.0,public,EU,Europe,AF/KL
Ryanair,2008'Q2,19.0,public,EU,Europe,FR
easyJet,2008'Q2,9.0,public,EU,Europe,U2
Norwegian Air Shuttle,2008'Q2,1.0,public,EU,Europe,DY
Finnair,2008'Q2,7.0,public,EU,Europe,AY
Singapore Airlines,2008'Q2,20.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q2,22.0,public,AU,Asia Pacific,QF
Japan Airlines,2008'Q2,6.0,public,JP,Asia Pacific,JL
ANA Holdings,2008'Q2,11.0,public,JP,Asia Pacific,NH
Korean Air,2008'Q2,4.0,public,KR,Asia Pacific,KE
Asiana Airlines,2008'Q2,2.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2008'Q2,7.0,public,HK,Asia Pacific,CX
Copa Holdings,2008'Q2,22.0,public,PA,Latin America,CM
Gol Linhas Aereas,2008'Q2,1.0,public,BR,Latin America,G3
LATAM Airlines,2008'Q2,16.0,public,CL,Latin America,LA
Air China,2008'Q2,14.0,public,CN,China,CA
China Eastern Airlines,2008'Q2,-3.0,public,CN,China,MU
China Southern Airlines,2008'Q2,9.0,public,CN,China,CZ
Hainan Airlines,2008'Q2,16.0,public,CN,China,HU
SpiceJet,2008'Q2,-4.0,public,IN,India,SG
Kenya Airlines,2008'Q2,12.0,public,KE,Africa,KQ
Comair,2008'Q2,10.0,public,ZA,Africa,MN
Aeroflot,2008'Q2,15.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2008'Q2,19.0,public,AE,Middle East,G9
Jazeera Airways,2008'Q2,16.0,public,KW,Middle East,J9
American Airlines,2008'Q3,4.0,public,US,North America,AA
Delta Air Lines,2008'Q3,8.0,public,US,North America,DL
Southwest Airlines,2008'Q3,11.0,public,US,North America,WN
United Airlines,2008'Q3,-1.0,public,US,North America,UA
Alaska Air,2008'Q3,4.0,public,US,North America,AS
JetBlue Airways,2008'Q3,10.0,public,US,North America,B6
Allegiant,2008'Q3,16.0,public,US,North America,G4
Hawaiian,2008'Q3,7.0,public,US,North America,HA
SkyWest,2008'Q3,14.0,public,US,North America,OO
Northwest Airlines,2008'Q3,-1.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q3,8.0,public,CA,North America,AC
WestJet Airlines,2008'Q3,18.0,public,CA,North America,WS
Exchange Income Corporation,2008'Q3,14.0,public,CA,North America,
Air France-KLM,2008'Q3,8.0,public,EU,Europe,AF/KL
Ryanair,2008'Q3,15.0,public,EU,Europe,FR
easyJet,2008'Q3,7.0,public,EU,Europe,U2
Norwegian Air Shuttle,2008'Q3,-1.0,public,EU,Europe,DY
Finnair,2008'Q3,4.0,public,EU,Europe,AY
Singapore Airlines,2008'Q3,18.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q3,22.0,public,AU,Asia Pacific,QF
Japan Airlines,2008'Q3,5.0,public,JP,Asia Pacific,JL
ANA Holdings,2008'Q3,10.0,public,JP,Asia Pacific,NH
Korean Air,2008'Q3,2.0,public,KR,Asia Pacific,KE
Asiana Airlines,2008'Q3,1.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2008'Q3,2.0,public,HK,Asia Pacific,CX
Copa Holdings,2008'Q3,21.0,public,PA,Latin America,CM
LATAM Airlines,2008'Q3,18.0,public,CL,Latin America,LA
Air China,2008'Q3,12.0,public,CN,China,CA
China Eastern Airlines,2008'Q3,-11.0,public,CN,China,MU
China Southern Airlines,2008'Q3,6.0,public,CN,China,CZ
Hainan Airlines,2008'Q3,12.0,public,CN,China,HU
SpiceJet,2008'Q3,-1.0,public,IN,India,SG
Kenya Airlines,2008'Q3,12.0,public,KE,Africa,KQ
Comair,2008'Q3,9.0,public,ZA,Africa,MN
Aeroflot,2008'Q3,13.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2008'Q3,17.0,public,AE,Middle East,G9
Jazeera Airways,2008'Q3,16.0,public,KW,Middle East,J9
American Airlines,2008'Q4,2.0,public,US,North America,AA
Delta Air Lines,2008'Q4,6.0,public,US,North America,DL
Southwest Airlines,2008'Q4,10.0,public,US,North America,WN
United Airlines,2008'Q4,-4.0,public,US,North America,UA
Alaska Air,2008'Q4,1.0,public,US,North America,AS
JetBlue Airways,2008'Q4,10.0,public,US,North America,B6
Spirit Airlines,2008'Q4,-2.0,public,US,North America,NK
Allegiant,2008'Q4,16.0,public,US,North America,G4
Hawaiian,2008'Q4,7.0,public,US,North America,HA
SkyWest,2008'Q4,14.0,public,US,North America,OO
Northwest Airlines,2008'Q4,-5.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q4,7.0,public,CA,North America,AC
WestJet Airlines,2008'Q4,17.0,public,CA,North America,WS
Exchange Income Corporation,2008'Q4,13.0,public,CA,North America,
Air France-KLM,2008'Q4,6.0,public,EU,Europe,AF/KL
Ryanair,2008'Q4,12.0,public,EU,Europe,FR
easyJet,2008'Q4,6.0,public,EU,Europe,U2
Norwegian Air Shuttle,2008'Q4,-3.0,public,EU,Europe,DY
Finnair,2008'Q4,2.0,public,EU,Europe,AY
Singapore Airlines,2008'Q4,16.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q4,23.0,public,AU,Asia Pacific,QF
Japan Airlines,2008'Q4,3.0,public,JP,Asia Pacific,JL
ANA Holdings,2008'Q4,9.0,public,JP,Asia Pacific,NH
Asiana Airlines,2008'Q4,-1.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2008'Q4,-3.0,public,HK,Asia Pacific,CX
Copa Holdings,2008'Q4,21.0,public,PA,Latin America,CM
LATAM Airlines,2008'Q4,20.0,public,CL,Latin America,LA
Air China,2008'Q4,9.0,public,CN,China,CA
China Eastern Airlines,2008'Q4,-18.0,public,CN,China,MU
China Southern Airlines,2008'Q4,4.0,public,CN,China,CZ
Hainan Airlines,2008'Q4,9.0,public,CN,China,HU
SpiceJet,2008'Q4,3.0,public,IN,India,SG
Kenya Airlines,2008'Q4,11.0,public,KE,Africa,KQ
Comair,2008'Q4,8.0,public,ZA,Africa,MN
Aeroflot,2008'Q4,11.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2008'Q4,16.0,public,AE,Middle East,G9
Jazeera Airways,2008'Q4,15.0,public,KW,Middle East,J9
American Airlines,2009'Q1,2.0,public,US,North America,AA
Delta Air Lines,2009'Q1,6.0,public,US,North America,DL
Southwest Airlines,2009'Q1,9.0,public,US,North America,WN
United Airlines,2009'Q1,-2.0,public,US,North America,UA
Alaska Air,2009'Q1,5.0,public,US,North America,AS
JetBlue Airways,2009'Q1,11.0,public,US,North America,B6
Spirit Airlines,2009'Q1,2.0,public,US,North America,NK
Allegiant,2009'Q1,19.0,public,US,North America,G4
Hawaiian,2009'Q1,9.0,public,US,North America,HA
SkyWest,2009'Q1,14.0,public,US,North America,OO
Northwest Airlines,2009'Q1,-5.0,merged with Delta 2008,US,North America,NW
Air Canada,2009'Q1,6.0,public,CA,North America,AC
WestJet Airlines,2009'Q1,17.0,public,CA,North America,WS
Exchange Income Corporation,2009'Q1,13.0,public,CA,North America,
Air France-KLM,2009'Q1,7.0,public,EU,Europe,AF/KL
Ryanair,2009'Q1,14.0,public,EU,Europe,FR
easyJet,2009'Q1,5.0,public,EU,Europe,U2
Finnair,2009'Q1,1.0,public,EU,Europe,AY
Singapore Airlines,2009'Q1,16.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q1,20.0,public,AU,Asia Pacific,QF
Japan Airlines,2009'Q1,9.0,public,JP,Asia Pacific,JL
ANA Holdings,2009'Q1,8.0,public,JP,Asia Pacific,NH
Korean Air,2009'Q1,1.0,public,KR,Asia Pacific,KE
Asiana Airlines,2009'Q1,-2.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2009'Q1,2.0,public,HK,Asia Pacific,CX
Copa Holdings,2009'Q1,21.0,public,PA,Latin America,CM
Gol Linhas Aereas,2009'Q1,3.0,public,BR,Latin America,G3
LATAM Airlines,2009'Q1,20.0,public,CL,Latin America,LA
Air China,2009'Q1,13.0,public,CN,China,CA
China Eastern Airlines,2009'Q1,-10.0,public,CN,China,MU
China Southern Airlines,2009'Q1,6.0,public,CN,China,CZ
Hainan Airlines,2009'Q1,11.0,public,CN,China,HU
SpiceJet,2009'Q1,3.0,public,IN,India,SG
Kenya Airlines,2009'Q1,11.0,public,KE,Africa,KQ
Comair,2009'Q1,8.0,public,ZA,Africa,MN
Aeroflot,2009'Q1,12.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2009'Q1,16.0,public,AE,Middle East,G9
Jazeera Airways,2009'Q1,9.0,public,KW,Middle East,J9
American Airlines,2009'Q2,2.0,public,US,North America,AA
Delta Air Lines,2009'Q2,6.0,public,US,North America,DL
Southwest Airlines,2009'Q2,9.0,public,US,North America,WN
United Airlines,2009'Q2,1.0,public,US,North America,UA
Alaska Air,2009'Q2,8.0,public,US,North America,AS
JetBlue Airways,2009'Q2,13.0,public,US,North America,B6
Spirit Airlines,2009'Q2,6.0,public,US,North America,NK
Allegiant,2009'Q2,21.0,public,US,North America,G4
Hawaiian,2009'Q2,10.0,public,US,North America,HA
SkyWest,2009'Q2,15.0,public,US,North America,OO
Northwest Airlines,2009'Q2,-5.0,merged with Delta 2008,US,North America,NW
Air Canada,2009'Q2,6.0,public,CA,North America,AC
WestJet Airlines,2009'Q2,16.0,public,CA,North America,WS
Exchange Income Corporation,2009'Q2,14.0,public,CA,North America,
Air France-KLM,2009'Q2,8.0,public,EU,Europe,AF/KL
Ryanair,2009'Q2,17.0,public,EU,Europe,FR
easyJet,2009'Q2,5.0,public,EU,Europe,U2
Norwegian Air Shuttle,2009'Q2,3.0,public,EU,Europe,DY
Singapore Airlines,2009'Q2,16.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q2,17.0,public,AU,Asia Pacific,QF
Japan Airlines,2009'Q2,14.0,public,JP,Asia Pacific,JL
ANA Holdings,2009'Q2,7.0,public,JP,Asia Pacific,NH
Korean Air,2009'Q2,1.0,public,KR,Asia Pacific,KE
Asiana Airlines,2009'Q2,-3.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2009'Q2,7.0,public,HK,Asia Pacific,CX
Copa Holdings,2009'Q2,21.0,public,PA,Latin America,CM
Gol Linhas Aereas,2009'Q2,5.0,public,BR,Latin America,G3
LATAM Airlines,2009'Q2,20.0,public,CL,Latin America,LA
Air China,2009'Q2,17.0,public,CN,China,CA
China Eastern Airlines,2009'Q2,-1.0,public,CN,China,MU
China Southern Airlines,2009'Q2,9.0,public,CN,China,CZ
Hainan Airlines,2009'Q2,13.0,public,CN,China,HU
SpiceJet,2009'Q2,3.0,public,IN,India,SG
Kenya Airlines,2009'Q2,11.0,public,KE,Africa,KQ
Comair,2009'Q2,8.0,public,ZA,Africa,MN
Aeroflot,2009'Q2,12.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2009'Q2,16.0,public,AE,Middle East,G9
Jazeera Airways,2009'Q2,2.0,public,KW,Middle East,J9
American Airlines,2009'Q3,2.0,public,US,North America,AA
Delta Air Lines,2009'Q3,6.0,public,US,North America,DL
Southwest Airlines,2009'Q3,9.0,public,US,North America,WN
United Airlines,2009'Q3,4.0,public,US,North America,UA
Alaska Air,2009'Q3,12.0,public,US,North America,AS
JetBlue Airways,2009'Q3,14.0,public,US,North America,B6
Spirit Airlines,2009'Q3,10.0,public,US,North America,NK
Allegiant,2009'Q3,24.0,public,US,North America,G4
Hawaiian,2009'Q3,12.0,public,US,North America,HA
SkyWest,2009'Q3,16.0,public,US,North America,OO
Northwest Airlines,2009'Q3,-5.0,merged with Delta 2008,US,North America,NW
Air Canada,2009'Q3,5.0,public,CA,North America,AC
WestJet Airlines,2009'Q3,16.0,public,CA,North America,WS
Exchange Income Corporation,2009'Q3,14.0,public,CA,North America,
Air France-KLM,2009'Q3,9.0,public,EU,Europe,AF/KL
Ryanair,2009'Q3,19.0,public,EU,Europe,FR
easyJet,2009'Q3,5.0,public,EU,Europe,U2
Norwegian Air Shuttle,2009'Q3,7.0,public,EU,Europe,DY
Singapore Airlines,2009'Q3,15.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q3,14.0,public,AU,Asia Pacific,QF
Japan Airlines,2009'Q3,19.0,public,JP,Asia Pacific,JL
ANA Holdings,2009'Q3,6.0,public,JP,Asia Pacific,NH
Korean Air,2009'Q3,2.0,public,KR,Asia Pacific,KE
Asiana Airlines,2009'Q3,-4.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2009'Q3,11.0,public,HK,Asia Pacific,CX
Copa Holdings,2009'Q3,21.0,public,PA,Latin America,CM
Gol Linhas Aereas,2009'Q3,7.0,public,BR,Latin America,G3
LATAM Airlines,2009'Q3,20.0,public,CL,Latin America,LA
Air China,2009'Q3,20.0,public,CN,China,CA
China Eastern Airlines,2009'Q3,8.0,public,CN,China,MU
China Southern Airlines,2009'Q3,11.0,public,CN,China,CZ
Hainan Airlines,2009'Q3,15.0,public,CN,China,HU
SpiceJet,2009'Q3,3.0,public,IN,India,SG
Kenya Airlines,2009'Q3,11.0,public,KE,Africa,KQ
Comair,2009'Q3,8.0,public,ZA,Africa,MN
Aeroflot,2009'Q3,13.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2009'Q3,15.0,public,AE,Middle East,G9
Jazeera Airways,2009'Q3,-4.0,public,KW,Middle East,J9
American Airlines,2009'Q4,1.0,public,US,North America,AA
Delta Air Lines,2009'Q4,6.0,public,US,North America,DL
Southwest Airlines,2009'Q4,8.0,public,US,North America,WN
United Airlines,2009'Q4,7.0,public,US,North America,UA
Alaska Air,2009'Q4,16.0,public,US,North America,AS
JetBlue Airways,2009'Q4,16.0,public,US,North America,B6
Spirit Airlines,2009'Q4,14.0,public,US,North America,NK
Allegiant,2009'Q4,27.0,public,US,North America,G4
Hawaiian,2009'Q4,14.0,public,US,North America,HA
SkyWest,2009'Q4,17.0,public,US,North America,OO
Air Canada,2009'Q4,4.0,public,CA,North America,AC
WestJet Airlines,2009'Q4,15.0,public,CA,North America,WS
Exchange Income Corporation,2009'Q4,14.0,public,CA,North America,
Air France-KLM,2009'Q4,10.0,public,EU,Europe,AF/KL
Ryanair,2009'Q4,21.0,public,EU,Europe,FR
easyJet,2009'Q4,4.0,public,EU,Europe,U2
Norwegian Air Shuttle,2009'Q4,10.0,public,EU,Europe,DY
Finnair,2009'Q4,-1.0,public,EU,Europe,AY
Singapore Airlines,2009'Q4,15.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q4,11.0,public,AU,Asia Pacific,QF
Japan Airlines,2009'Q4,24.0,public,JP,Asia Pacific,JL
ANA Holdings,2009'Q4,5.0,public,JP,Asia Pacific,NH
Korean Air,2009'Q4,2.0,public,KR,Asia Pacific,KE
Asiana Airlines,2009'Q4,-5.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2009'Q4,16.0,public,HK,Asia Pacific,CX
Copa Holdings,2009'Q4,22.0,public,PA,Latin America,CM
Gol Linhas Aereas,2009'Q4,9.0,public,BR,Latin America,G3
Air China,2009'Q4,24.0,public,CN,China,CA
China Eastern Airlines,2009'Q4,16.0,public,CN,China,MU
China Southern Airlines,2009'Q4,13.0,public,CN,China,CZ
Hainan Airlines,2009'Q4,17.0,public,CN,China,HU
Kenya Airlines,2009'Q4,12.0,public,KE,Africa,KQ
Comair,2009'Q4,8.0,public,ZA,Africa,MN
Aeroflot,2009'Q4,13.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2009'Q4,15.0,public,AE,Middle East,G9
Jazeera Airways,2009'Q4,-11.0,public,KW,Middle East,J9
American Airlines,2010'Q1,3.0,public,US,North America,AA
Delta Air Lines,2010'Q1,8.0,public,US,North America,DL
Southwest Airlines,2010'Q1,10.0,public,US,North America,WN
United Airlines,2010'Q1,8.0,public,US,North America,UA
Alaska Air,2010'Q1,16.0,public,US,North America,AS
JetBlue Airways,2010'Q1,16.0,public,US,North America,B6
Spirit Airlines,2010'Q1,13.0,public,US,North America,NK
Allegiant,2010'Q1,26.0,public,US,North America,G4
Hawaiian,2010'Q1,13.0,public,US,North America,HA
SkyWest,2010'Q1,16.0,public,US,North America,OO
Air Canada,2010'Q1,6.0,public,CA,North America,AC
WestJet Airlines,2010'Q1,15.0,public,CA,North America,WS
Exchange Income Corporation,2010'Q1,15.0,public,CA,North America,
IAG,2010'Q1,7.0,public,EU,Europe,
Air France-KLM,2010'Q1,9.0,public,EU,Europe,AF/KL
Ryanair,2010'Q1,21.0,public,EU,Europe,FR
easyJet,2010'Q1,5.0,public,EU,Europe,U2
Norwegian Air Shuttle,2010'Q1,8.0,public,EU,Europe,DY
Singapore Airlines,2010'Q1,17.0,public,SG,Asia Pacific,SQ
Qantas Airways,2010'Q1,11.0,public,AU,Asia Pacific,QF
Japan Airlines,2010'Q1,24.0,public,JP,Asia Pacific,JL
ANA Holdings,2010'Q1,7.0,public,JP,Asia Pacific,NH
Korean Air,2010'Q1,4.0,public,KR,Asia Pacific,KE
Asiana Airlines,2010'Q1,-1.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2010'Q1,17.0,public,HK,Asia Pacific,CX
Copa Holdings,2010'Q1,22.0,public,PA,Latin America,CM
Gol Linhas Aereas,2010'Q1,10.0,public,BR,Latin America,G3
Air China,2010'Q1,24.0,public,CN,China,CA
China Eastern Airlines,2010'Q1,16.0,public,CN,China,MU
China Southern Airlines,2010'Q1,15.0,public,CN,China,CZ
Hainan Airlines,2010'Q1,20.0,public,CN,China,HU
SpiceJet,2010'Q1,50.0,public,IN,India,SG
